"","FIPS","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"2788",51003,38678.9497415484,19357.3021043273,13824.7812856747,0,0,4761.54570474867,0,8684.40612422932,0,10068.330763294,212410.879491733,5416.36927033319,0,0,0,0,143.946598712528,26.1721088568234,5172.48847147293
"2789",51005,4526.56526259788,3331.88431609185,0,0,0,0,0,1494.80730341153,0,1269.34267687577,35128.9936324168,0,0,0,0,0,16.8459505171446,3.06290009402631,605.332016319121
"2790",51007,133173.565149489,94390.9353983563,64176.0396590757,1034.15808718592,13968.6570568905,3196.67789733657,0,5830.30192929412,1801.61667330046,2058.20227307824,90068.6374658053,17207.8503907202,0,0,0,0,495.615363648261,90.1118842996841,17809.1374001489
"2791",51009,11677.8160866397,6474.98802188121,4624.36824860322,0,0,0,0,2904.92059939315,897.64706012649,5905.72109288212,93258.0681293382,0,0,0,0,0,43.4598642748708,7.90179350452198,1561.66001103285
"2792",51011,15129.7551826424,12249.7937655213,18806.2507564134,0,2864.20242022965,0,0,3498.44949502575,0,2696.60826894971,146143.457121566,2178.50882901355,0,0,0,0,56.3065132959177,10.2375478719851,2023.28358917052
"2793",51013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2794",51015,703942.005099161,566256.197837105,116418.332509231,629.915016583163,22623.1214505619,1564.39534672849,8461.71381045943,0,3717.38292954374,59614.4106484826,433006.34746963,19640.1683701199,0,0,0,0,2619.77271880405,476.322312509829,94137.3002703251
"2795",51017,8033.44053508458,27274.5219355151,0,0,0,0,0,2573.85927134037,795.346078850022,908.618981847073,84158.1990333344,479.664802056887,0,0,0,0,29.8970486197718,5.4358270217767,1074.30214190518
"2796",51019,14690.3462299047,133554.509626811,34354.397490445,1610.85137828519,2595.5209106071,0,26838.5848697001,0,0,11319.7953742983,362267.457830468,876.820334535375,0,0,0,0,54.6712200779509,9.94022183235475,1964.52196928463
"2798",51023,49040.0449201163,42613.7426713491,7793.02527673551,0,0,0,940.8017733244,4525.34337125023,0,7690.54800238585,126782.512493564,1193.58897749171,0,0,0,0,182.506187839365,33.182943243521,6558.06501171205
